    cometNumberAndOrbitType year month day perihelionDistancePD eccentricityE orbitalPeriodAndPerihelionW longitudeL inclinationI epochDate magnitudeMag slopeParameter namePart1 namePart2 namePart3 reference
    PK10H030  2021 02  8.2547  0.046854  0.984730   24.9373   78.2498   23.8139  20190228  20.0  2.0  P/2010 H3 (SOHO)                                         MPC_70361
    PK10H040  2027 05 15.1289  4.813783  0.268840  179.5022   44.7615    2.3213  20190228  10.5  4.0  P/2010 H4 (Scotti)                                       MPC_73463
    PK10H050  2010 04 18.6040  6.036658  0.155421  175.3095   24.8071   14.0817  20190228  13.0  2.0  P/2010 H5 (Scotti)                                       MPC_74637
    CK10J010  2010 01 31.7135  1.706535  0.952722  332.8948  254.5386  134.5189  20190228  12.0  4.0  C/2010 J1 (Boattini)                                     MPC_71278
    CK10J020  2010 05 30.8093  3.384798  0.997423    4.4094  311.7069  125.9750  20190228   9.0  4.0  C/2010 J2 (McNaught)                                     MPC_75712
    PK10J030  2010 08 28.5429  2.439330  0.727808  157.4924  106.4227   13.2855  20190228  11.0  4.0  P/2010 J3 (McMillan)                                     MPC_82316
    PK10J81C  2011 04 19.1826  1.819414  0.775879   12.5102   30.8326   38.6246  20190228   9.0  4.0  P/2010 JC81 (WISE)                                       MPC_84315
    CK10K07W  2010 10 13.8727  2.568899  0.973905  332.7216  105.1699  147.0329  20190228  15.0  2.0  C/2010 KW7 (WISE)                                        MPC_74248
    CK10L030  2010 11  9.1741  9.911367  0.999692  121.9341   38.2859  102.5095  20190228   4.5  4.0  C/2010 L3 (Catalina)                                     MPC_83518
    CK10L040  2010 02 24.5457  2.811446  0.964527   95.5878  125.3469  102.7053  20190228  11.5  4.0  C/2010 L4 (WISE)                                         MPC112389
    CK10L050  2010 04 16.9919  0.785523  0.902095  214.3598  206.4116  146.9020  20190228  18.0  4.0  C/2010 L5 (WISE)                                         MPC_74248
    CK10R010  2012 05 17.4254  5.649309  1.000098  114.7654  343.7341  156.9536  20190228   6.0  4.0  C/2010 R1 (LINEAR)                                       MPC_88325
    CK10S010  2013 05 16.9971  5.898441  0.999935  118.4694   93.4085  125.2853  20190228   3.5  4.0  C/2010 S1 (LINEAR)                                       MPC111766
    PK10T020  2024 04 14.7535  3.719083  0.320735  354.9417   59.5403    8.0307  20190228  11.5  4.0  P/2010 T2 (PANSTARRS)                                    MPC_74248
    PK10T20O  2022 12  2.0413  5.512857  0.053075  267.6148   43.3011    2.4807  20190228   9.0  4.0  P/2010 TO20 (LINEAR-Grauer)                              MPC_81468
    PK10U010  2026 09 10.8005  4.910349  0.246632   85.9260  280.7156    8.2140  20190228   9.5  4.0  P/2010 U1 (Boattini)                                     MPC_82316
    PK10U020  2019 09 15.3326  2.567617  0.400842   44.3460  357.0823   16.8281  20190228  13.0  4.0  P/2010 U2 (Hill)                                         MPC_74249
    CK10U030  2019 02 26.6287  8.445514  0.998424   88.0864   43.0678   55.5118  20190228   1.0  4.0  C/2010 U3 (Boattini)                                     MPC112389
    PK10U55H  2011 04 29.6794  2.888735  0.565166  225.0736  233.2963    8.0887  20190228  11.0  4.0  P/2010 UH55 (Spacewatch)                                 MPC_79021
    PK10W00K  2024 07 25.4615  1.786724  0.689513   41.0698   11.3388   11.4040  20190228  14.5  2.0  P/2010 WK (LINEAR)                                       MPC_75009
    CK10X010  2011 09 11.2463  0.465934  0.999024  344.7293  321.7700    1.8918  20190228  10.0  4.0  C/2010 X1 (Elenin)                                       MPC_76025
    PK11A020  2016 06 13.5357  1.553459  0.499517   94.5965   54.6679    4.4755  20190228  16.5  4.0  P/2011 A2 (Scotti)                                       MPC_82317
    CK11A030  2011 12 18.4869  2.333068  0.997449  141.2394  124.6336   26.0916  20190228  10.0  4.0  C/2011 A3 (Gibbs)                                        MPC_85831
    CK11C010  2011 04 20.3481  0.875972  0.998390   85.7657  191.1013   16.2874  20190228  15.5  4.0  C/2011 C1 (McNaught)                                     MPC_82317
    PK11C020  2012 01 10.4906  5.409694  0.270071  161.1745   12.1027   10.8894  20190228   9.0  4.0  P/2011 C2 (Gibbs)                                        MPC_84021
    CK11C030  2011 04 10.0144  1.516516  0.995282  206.8505   20.8397   49.4402  20190228  17.0  4.0  C/2011 C3 (Gibbs)                                        MPC_75516
    PK11C42R  2018 06 22.0880  2.521157  0.281091  172.9895   58.7180    8.4641  20190228  17.5  2.0  P/2011 CR42 (Catalina)                                   MPC_86639
    CK11F010  2013 01  9.2492  1.814738  0.999591  192.5476   84.9779   56.7818  20190228   5.0  4.0  C/2011 F1 (LINEAR)                                       MPC_89309
    PK11FE3R  2011 03 10.3335  3.749775  0.452536  350.1863  190.9352   16.0095  20190228  14.0  2.0  P/2011 FR143 (Lemmon)                                    MPC_79866
    CK11G010  2011 09 18.5627  2.157570  1.001391  355.2226  153.1866  162.1805  20190228  12.0  4.0  C/2011 G1 (McNaught)                                     MPC_80044
    CK11J020  2013 12 25.9951  3.435352  1.001444   85.2158  163.9093  122.7234  20190228   5.5  3.6  C/2011 J2 (LINEAR)                                       MPC106343
    CK11J02b  2013 12 25.8733  3.434555  1.002204   85.1733  163.9058  122.7260  20190228   9.0  3.6  C/2011 J2-B (LINEAR)                                     MPEC_2015-K84
    CK11J02c  2013 12 25.9656  3.434392  1.002240   85.1905  163.9110  122.7214  20190228  11.0  3.6  C/2011 J2-C (LINEAR)                                     unp
    CK11J030  2011 01 19.9471  1.451106  0.925603   27.8064   21.5822  114.5049  20190228  15.0  4.0  C/2011 J3 (LINEAR)                                       MPC_75713
    PK11J15B  2012 01 22.8486  5.004312  0.318831  110.7451  153.6601   19.1465  20190228   9.0  4.0  P/2011 JB15 (Spacewatch-Boattini)                        MPC_82317
    CK11K010  2011 04 19.1196  3.390769  0.999454  167.0215   70.5434  122.6389  20190228  12.0  4.0  C/2011 K1 (Schwartz-Holvorcem)                           MPC_75516
    CK11K36P  2016 05 26.6244  4.880114  0.873382  180.5567  173.3668   18.9820  20190228   4.5  4.0  C/2011 KP36 (Spacewatch)                                 MPC112389
    CK11L010  2010 12 16.8992  2.249938  0.796274  294.5848  252.1109   65.4845  20190228  11.0  4.0  C/2011 L1 (McNaught)                                     MPC_83518
    CK11L020  2011 10 29.9310  1.951268  0.999703  257.0780  131.5354  104.5145  20190228  12.5  4.0  C/2011 L2 (McNaught)                                     MPC_78588
    CK11L030  2011 08  8.4945  1.923311  0.997946   27.6190  307.6988   87.4132  20190228  12.5  4.0  C/2011 L3 (McNaught)                                     MPC_77405
    CK11L040  2013 03  8.8296  0.299590  0.999892  333.5511   66.0398   83.8437  20190228   5.5  4.0  C/2011 L4 (PANSTARRS)                                    MPC103843
    CK11L060  2011 01 18.2000  6.813316  0.999876  331.5936  214.4561  171.4436  20190228   9.0  4.0  C/2011 L6 (Boattini)                                     MPC_82718
    CK11M010  2011 09  5.1703  0.908268  1.002369  119.6904  325.1094   70.1349  20190228  12.0  4.0  C/2011 M1 (LINEAR)                                       MPC_75714
    PK11N010  2012 05 21.0632  2.857846  0.542995  330.4297   77.6138   35.7009  20190228  11.5  4.0  P/2011 N1 (ASH)                                          MPC_87913
    PK11N01O  2024 01 14.6338  1.238030  0.775742  263.8230  295.8325   15.2478  20190228  15.0  4.0  P/2011 NO1 (Elenin)                                      MPC_75714
    CK11N020  2011 10 20.8629  2.552162  0.998685  357.0863  273.7873   33.7756  20190228  11.5  4.0  C/2011 N2 (McNaught)                                     MPC_76569
    CK11O010  2012 08 19.0120  3.887218  0.995046  232.3471   89.7691   76.6521  20190228   7.0  4.0  C/2011 O1 (LINEAR)                                       MPC_87476
    PK11P010  2010 07 11.4752  5.046450  0.325248  348.8704    4.2655    5.6503  20190228   9.0  4.0  P/2011 P1 (McNaught)                                     MPC_78186
    CK11P020  2010 09 13.1334  6.120341  0.370219   75.9594  203.9745    9.0038  20190228   8.5  4.0  C/2011 P2 (PANSTARRS)                                    MPC107047
    CK11Q010  2011 06 28.5526  6.764732  0.997870  135.7643  142.1374   94.8309  20190228   9.5  4.0  C/2011 Q1 (PANSTARRS)                                    MPC_79867
    CK11Q020  2012 01 19.5352  1.344093  0.998417   34.7196  287.1334   37.3691  20190228  10.0  4.0  C/2011 Q2 (McNaught)                                     MPC_79342
    PK11Q030  2022 08 20.4075  2.327412  0.531807  310.9455   32.0295    6.0533  20190228  13.5  4.0  P/2011 Q3 (McNaught)                                     MPC_77806
    CK11Q040  2011 09 18.8217  1.128681  0.972814    1.9552  251.9705  147.9721  20190228  12.5  4.0  C/2011 Q4 (SWAN)                                         MPC_79342
    CK11R010  2012 10 17.2427  2.095604  0.999900  308.9582  221.3305  116.1612  20190228   6.5  4.0  C/2011 R1 (McNaught)                                     MPC_88325
    PK11R030  2022 09 29.5836  3.505560  0.268844  224.0531  190.1755   19.2245  20190228  11.0  4.0  P/2011 R3 (Novichonok-Gerke)                             MPC_90269
    PK11S010  2014 08 17.0231  6.884483  0.199599  192.9213  218.9497    2.6828  20190228   8.0  4.0  P/2011 S1 (Gibbs)                                        MPC_98558
    CK11S020  2011 10 22.6832  1.128811  0.931187  192.3471  288.0908   17.4996  20190228  15.5  4.0  C/2011 S2 (Kowalski)                                     MPC_80897
    PK11U010  2020 08 19.5180  2.367147  0.416489  353.3168  134.9610   15.2291  20190228  14.5  4.0  P/2011 U1 (PANSTARRS)                                    MPC_78186
    PK11U020  2023 05 31.8757  4.496395  0.111514  141.7927  263.8970   10.0436  20190228  10.0  4.0  P/2011 U2 (Bressi)                                       MPC105540
    CK11U030  2012 06  1.2162  1.082015  0.999480  287.8349  228.1757  116.7101  20190228  14.0  4.0  C/2011 U3 (PANSTARRS)                                    MPC_78186
    PK11UD4A  2025 02 23.0288  2.074001  0.629475   32.5293   40.5336   10.4641  20190228  17.5  4.0  P/2011 UA134 (Spacewatch-PANSTARRS)                      MPC_79022
    CK11UU5F  2012 07 21.5682  2.139710  0.999347  121.9950  297.7046   94.0536  20190228   9.0  4.0  C/2011 UF305 (LINEAR)                                    MPC_88325
    PK11V010  2018 10  1.9202  1.731639  0.550394  269.1709   46.8688    7.3802  20190228  15.5  4.0  P/2011 V1 (Boattini)                                     MPC_77406
    PK11W010  2022 02  8.3982  3.325054  0.286351  282.7335  161.7915    3.7182  20190228  11.5  4.0  P/2011 W1 (PANSTARRS)                                    MPC_82718
    CK11W030  2011 12 15.3351  0.006713  0.999906   56.8172  330.7248  136.6203  20190228  14.5  4.0  C/2011 W3 (Lovejoy)                                      MPC_77807
    PK11WB3G  2018 02 10.8060  1.357682  0.573730   66.3513   87.4367    9.8400  20190228  17.0  4.0  P/2011 WG113 (PANSTARRS)                                 MPC109140
    PK11Y020  2012 03 12.9492  1.813353  0.709368  132.0258  309.3731    6.3710  20190228  15.0  4.0  P/2011 Y2 (Boattini)                                     MPC_79342
    CK11Y030  2011 08 16.4628  3.505582  0.701525  340.4794   84.9025   26.5026  20190228   8.0  4.0  C/2011 Y3 (Boattini)                                     MPC_79342
    CK12A010  2013 12  3.3531  7.596578  1.001653  192.0228  278.0653  120.9336  20190228   6.0  4.0  C/2012 A1 (PANSTARRS)                                    MPC_93583
    CK12A020  2012 11  6.8385  3.523299  0.997046  101.5684  191.3756  125.8610  20190228   8.5  4.0  C/2012 A2 (LINEAR)                                       MPC_91611
    PK12A030  2020 05  6.5889  0.593840  0.770390  219.6009  174.7992   11.0328  20190228  17.0  4.0  P/2012 A3 (SOHO)                                         MPC_80898
    PK12B010  2013 07 24.1484  3.839594  0.411221  162.5804   36.1663    7.6218  20190228   9.0  4.0  P/2012 B1 (PANSTARRS)                                    MPC_94669
    CK12B030  2011 12  7.5074  3.546508  1.000145   50.8480  252.9671  107.0882  20190228  10.0  4.0  C/2012 B3 (La-Sagra)                                     MPC_82719
    CK12B98J  2012 09 20.4786  2.168771  0.874556   73.2319  123.9619    2.6332  20190228  12.5  4.0  C/2012 BJ98 (Lemmon)                                     MPC_83519
    CK12C010  2013 02  3.9388  4.836278  0.997514  279.8596  300.5886   96.1635  20190228   7.5  4.0  C/2012 C1 (McNaught)                                     MPC_89309
    CK12C020  2012 03 11.9565  0.791575  1.002563   62.2692  117.7879  162.7125  20190228  17.0  4.0  C/2012 C2 (Bruenjes)                                     MPC_80898
    PK12C030  2011 10  6.7469  3.605925  0.630111  344.9542  135.3677    9.0920  0         13.0  4.0  P/2012 C3 (PANSTARRS)                                    MPC_78590
    CK12C17H  2012 09 30.2682  1.287578  0.999790  138.1361  125.6593   27.7817  20190228  11.0  4.0  C/2012 CH17 (MOSS)                                       MPC_84022
    CK12E010  2011 07  2.1096  7.519596  0.993945   48.8942  286.2395  122.6285  20190228   6.5  4.0  C/2012 E1 (Hill)                                         MPC_84022
    CK12E030  2011 05  8.7099  3.848583  0.981198  103.6209    5.5688  105.6288  20190228  10.0  4.0  C/2012 E3 (PANSTARRS)                                    MPC_82318
    CK12F010  2012 02 19.2256  2.565556  0.965154  301.1386  130.5225  159.5747  20190228  14.0  4.0  C/2012 F1 (Gibbs)                                        MPC_79868
    PK12F020  2013 04 12.4647  2.888407  0.543309   33.1456  227.0877   14.7422  20190228  12.0  4.0  P/2012 F2 (PANSTARRS)                                    MPC_84931
    CK12F030  2015 04  7.4865  3.460163  1.003953  104.1434  164.5801   11.3436  20190228   6.5  4.0  C/2012 F3 (PANSTARRS)                                    MPC107683
    CK12F060  2013 03 24.8925  0.723666  0.998209  304.8368  332.3965   82.6707  20190228  10.0  4.0  C/2012 F6 (Lemmon)                                       MPC_90766
    PK12G010  2012 06  1.4325  2.584166  0.380722  286.1149  282.5440   11.6925  0         15.0  4.0  P/2012 G1 (PANSTARRS)                                    MPC_79344
    CK12H020  2012 04 30.8843  1.733779  0.892406  296.0751  184.1846   92.8007  20190228  15.5  4.0  C/2012 H2 (McNaught)                                     MPC_80046
    CK12J010  2012 12  6.3797  3.147339  1.000565  147.1745  235.1517   34.0944  20190228   8.0  4.0  C/2012 J1 (Catalina)                                     MPC109140
    CK12K010  2014 08 28.2596  1.049147  1.000424  203.0658  317.7906  142.2967  20190228   5.6  3.2  C/2012 K1 (PANSTARRS)                                    MPC103843
    PK12K030  2019 08 17.5117  2.088889  0.423973  172.1272  125.8219   13.1912  20190228  15.0  4.0  P/2012 K3 (Gibbs)                                        MPC_80898
    CK12K050  2012 11 28.5349  1.139695  0.998200  139.2756  279.3889   92.7583  20190228  12.0  4.0  C/2012 K5 (LINEAR)                                       MPC103843
    CK12K060  2013 05 20.7778  3.371094  0.998373  339.0673  206.9454  135.2148  20190228   8.5  4.0  C/2012 K6 (McNaught)                                     MPC111766
    CK12K080  2014 08 19.6854  6.469551  0.999428   75.9255  312.7695  106.1698  20190228   6.0  4.0  C/2012 K8 (Lemmon)                                       MPC100577
    CK12L010  2012 12 25.1194  2.254946  0.995943  140.1148  271.9821   87.2291  20190228  10.5  4.0  C/2012 L1 (LINEAR)                                       MPC_88326
    CK12L020  2013 05  7.0149  1.516462  0.997013  205.8548  270.3583   70.8005  20190228  10.0  4.0  C/2012 L2 (LINEAR)                                       MPC_88326
    CK12L030  2012 06  8.5903  3.053325  0.989150  106.9897   53.4165  134.1279  20190228  13.0  4.0  C/2012 L3 (LINEAR)                                       MPC_84023
    CK12L26P  2015 08 17.5882  6.537346  1.002340  145.2135  153.9646   25.3578  20190228   6.5  4.0  C/2012 LP26 (Palomar)                                    MPC112389
    PK12N00J  2012 06 12.1208  1.287436  0.847696  338.2774  315.6149   84.5582  20190228  14.5  4.0  P/2012 NJ (La-Sagra)                                     MPC_88326
    CK12O00P  2012 12  3.0384  3.618363  0.995046  351.4096  267.2238  114.8578  20190228  13.5  2.0  C/2012 OP (Siding-Spring)                                MPC_84625
    PK12O010  2019 03  2.2981  1.435303  0.594279  238.1842   91.9854    7.4336  20190228  17.5  4.0  P/2012 O1 (McNaught)                                     MPC_81470
    PK12O020  2019 05  6.0456  1.691705  0.532921  183.3448  120.6833   24.4849  20190228  17.0  4.0  P/2012 O2 (McNaught)                                     MPC_80899
    PK12O030  2022 05 30.2297  1.619337  0.646303  344.6529  336.3971   16.5987  20190228  16.5  4.0  P/2012 O3 (McNaught)                                     MPC_82720
    CK12Q010  2012 02  5.5179  9.462513  0.636962  138.9949  184.3992   45.2009  20190228   4.0  4.0  C/2012 Q1 (Kowalski)                                     MPC_90767
    CK12S010  2013 11 28.8537  0.012476  1.000255  345.9291  294.8844   64.5582  20190228   8.5  3.2  C/2012 S1 (ISON)                                         MPC_89726
    PK12S020  2021 11  1.3020  1.362099  0.690902  312.5536   51.1915    8.6880  20190228  17.0  4.0  P/2012 S2 (La-Sagra)                                     MPC_82720
    CK12S030  2013 08 29.8185  2.312322  0.999395  183.6726  121.1737  113.0426  20190228  10.0  4.0  C/2012 S3 (PANSTARRS)                                    MPC_88327
    CK12S040  2013 06 26.2269  4.336663  0.998426  163.3658  173.0441  126.5629  20190228   8.5  4.0  C/2012 S4 (PANSTARRS)                                    MPC_88327
    PK12S06B  2020 06 18.9675  2.279287  0.405123   14.1338    8.2851   10.9262  20190228  14.0  4.0  P/2012 SB6 (Lemmon)                                      MPC_82720
    PK12T020  2013 04 19.9734  4.825926  0.159719  310.6391   73.7416   12.5538  20190228  10.0  4.0  P/2012 T2 (PANSTARRS)                                    MPC_82320
    PK12T030  2012 04 26.8347  2.360955  0.616445  195.4025  114.4008    9.5637  20190228  15.0  4.0  P/2012 T3 (PANSTARRS)                                    MPC_80900
    CK12T040  2012 10 12.2497  1.941181  0.983779  219.7141   99.4128   24.1867  20190228  13.5  4.0  C/2012 T4 (McNaught)                                     MPC_84023
    CK12T050  2013 02 24.1351  0.328110  1.000453  318.3435  230.2452   72.2644  20190228  13.0  4.0  C/2012 T5 (Bressi)                                       MPC_84023
    CK12T060  2012 08 23.1016  1.766987  0.874064  197.8763  186.1069   33.3768  20190228  15.0  4.0  C/2012 T6 (Kowalski)                                     MPC_82720
    PK12T08K  2021 10 23.6793  3.013946  0.272846  127.1261  288.9690    6.3294  20190228  13.0  4.0  P/2012 TK8 (Tenagra)                                     MPC_87914
    CK12U010  2014 07  3.6015  5.273707  0.995797   70.1851   26.9603   56.3647  20190228   7.5  4.0  C/2012 U1 (PANSTARRS)                                    MPC_95208
    PK12U020  2012 11  8.3439  3.597046  0.496973  228.4911  185.2381   10.7378  20190228  12.5  4.0  P/2012 U2 (PANSTARRS)                                    MPC_82720
    PK12U27S  2024 10 25.4789  1.821768  0.647260    0.9092   49.1691   39.3310  20190228  13.5  4.0  P/2012 US27 (Siding-Spring)                              MPC_84024
    CK12V010  2013 07 18.7103  2.094958  0.998064  123.1577   85.2677  157.8290  20190228  12.0  4.0  C/2012 V1 (PANSTARRS)                                    MPC_84932
    CK12V020  2013 08 13.0829  1.468182  0.997118  217.4650  262.1668   67.1292  20190228   9.0  4.0  C/2012 V2 (LINEAR)                                       MPC_88695
    PK12W34A  2023 07  7.1622  3.168255  0.337476  352.6740   94.5081    6.1235  20190228  13.5  4.0  P/2012 WA34 (Lemmon-PANSTARRS)                           MPC_82721
    CK12X010  2014 02 22.2131  1.600058  0.990333  132.2972  112.9250   44.3582  20190228   4.8  3.6  C/2012 X1 (LINEAR)                                       MPC108592
    CK12X020  2013 03 28.5454  4.765142  0.767175  215.7432  271.0726   34.0965  20190228   9.0  4.0  C/2012 X2 (PANSTARRS)                                    MPC_88327
    CK12Y010  2013 01 14.6232  2.031550  0.945639  269.0570  193.1782   20.9142  20190228  15.0  4.0  C/2012 Y1 (LINEAR)                                       MPC_83521
    CK12Y030  2012 08 23.0971  1.768935  0.936435  235.6128  122.7349   73.6658  20190228  11.0  4.0  C/2012 Y3 (McNaught)                                     MPC_83521
    CK13A010  2014 10 24.2469  1.404916  0.999616    2.4573  300.9298  129.1052  20190228   8.2  2.4  C/2013 A1 (Siding-Spring)                                MPC103843
    PK13A020  2021 02 15.9488  2.188003  0.454405  134.6263  355.8246    3.3627  20190228  15.5  4.0  P/2013 A2 (Scotti)                                       MPC_84024
    PK13A76L  2012 12 14.8704  2.040992  0.686028   27.1996  145.9382  144.7904  20190228  16.0  4.0  P/2013 AL76 (Catalina)                                   MPC_82721
    CK13B020  2013 06 29.6427  3.747184  1.000364  156.4898  332.0542   43.4612  20190228  11.0  4.0  C/2013 B2 (Catalina)                                     MPC_87915
    CK13C020  2015 09 12.0747  9.146934  0.429732  309.3927  247.5294   21.3386  20190228   4.0  4.0  C/2013 C2 (Tenagra)                                      MPC111766
    CK13D010  2013 04 13.2028  2.474136  0.781320  252.9715  294.8745   10.0635  20190228  14.0  4.0  C/2013 D1 (Holvorcem)                                    MPC_84024
    CK13E010  2013 06 17.6125  7.802720  1.001558  311.8475  134.0770  158.7474  20190228   5.5  4.0  C/2013 E1 (McNaught)                                     MPC_90270
    CK13E020  2013 03 11.0503  1.403043  0.993877   95.7463  182.3856   21.8477  20190228  11.5  4.0  C/2013 E2 (Iwamoto)                                      MPC_88327
    PK13E90W  2021 02 16.3540  3.312349  0.195120  346.4568  160.3211   31.7872  20190228  12.0  4.0  P/2013 EW90 (Tenagra)                                    MPC_88695
    CK13F010  2012 11 29.7866  1.872893  1.002084   92.1200   30.0972   79.6180  20190228  13.0  4.0  C/2013 F1 (Boattini)                                     MPC_84626
    CK13F020  2013 04 16.8364  6.233302  0.992574  123.1005  344.3066   61.8255  20190228   7.0  4.0  C/2013 F2 (Catalina)                                     MPC_88695
    CK13F030  2013 05 25.5179  2.255855  0.996529   18.7966  266.0007   85.5958  20190228  12.0  4.0  C/2013 F3 (McNaught)                                     MPC_84933
    PK13G010  2013 12 12.6632  3.346946  0.513588   51.2321  221.4419    5.4739  20190228  11.0  4.0  P/2013 G1 (Kowalski)                                     MPC_91612
    CK13G020  2012 12  4.9483  2.157590  0.999842  293.8743  273.9052   95.9009  20190228  11.5  4.0  C/2013 G2 (McNaught)                                     MPC_84933
    CK13G030  2014 11 16.2799  3.851780  1.002480   76.5547  208.1069   64.6593  20190228   9.0  4.0  C/2013 G3 (PANSTARRS)                                    MPC102950
    PK13G040  2022 06 18.8617  2.616708  0.410318  214.7201  339.6875    5.9173  20190228  15.0  4.0  P/2013 G4 (PANSTARRS)                                    MPC_84025
    CK13G050  2013 09  2.2400  0.920766  0.999846  165.6909  144.0231   40.7415  20190228  14.0  4.0  C/2013 G5 (Catalina)                                     MPC_84318
    CK13G060  2013 07 26.2910  2.053540  0.995128  215.8135   44.5490  124.1318  20190228  13.5  4.0  C/2013 G6 (Lemmon)                                       MPC_87478
    CK13G070  2014 03 20.2995  4.686561  0.998794  218.4338   48.3596  105.1095  20190228   7.5  4.0  C/2013 G7 (McNaught)                                     MPC_95209
    CK13G080  2013 11 15.3976  5.131025  0.998136   80.0819  240.9761   27.6489  20190228   8.5  4.0  C/2013 G8 (PANSTARRS)                                    MPC_95209
    CK13G090  2015 01 16.5387  5.346547  1.001314  205.2093   35.7547  146.2500  20190228   7.0  4.0  C/2013 G9 (Tenagra)                                      MPC_10027
    CK13H010  2013 05 20.1374  2.656969  0.987098  136.8943   84.8025   27.0692  20190228  13.0  4.0  C/2013 H1 (La-Sagra)                                     MPC_84933
    CK13H020  2014 01 25.0230  7.513532  0.999801   36.1331  262.6743  128.3970  20190228   6.5  4.0  C/2013 H2 (Boattini)                                     MPC_94670
    PK13J020  2013 08 23.8825  2.138161  0.656567   37.7212  289.4174   15.5293  20190228  13.0  4.0  P/2013 J2 (McNaught)                                     MPC_91613
    CK13J030  2013 02 21.4598  4.008399  0.996375  321.1491  200.7900  118.2137  20190228  10.0  4.0  C/2013 J3 (McNaught)                                     MPC_87916
    PK13J040  2013 11  4.2199  1.903367  0.230994  118.7706   84.0011    5.0352  0         14.0  4.0  P/2013 J4 (PANSTARRS)                                    MPC_87066
    CK13J050  2012 11 29.2328  4.924710  0.997047   19.2647  256.6812  136.0355  20190228  10.0  4.0  C/2013 J5 (Boattini)                                     MPC_84319
    CK13J060  2013 04  8.0817  2.427595  0.959329  125.7658   68.2840   84.9911  20190228  14.5  4.0  C/2013 J6 (Catalina)                                     MPC_84627
    CK13K010  2013 05 31.2329  0.940793  0.987781  171.3480  125.6907   42.5231  20190228  18.0  4.0  C/2013 K1 (Christensen)                                  MPC_84319
    CK13L020  2012 05  9.2504  4.877647  0.998794    1.8560  285.7251  106.8166  20190228   8.0  4.0  C/2013 L2 (Catalina)                                     MPC_87916
    PK13N030  2014 02 12.0262  3.015941  0.592053  323.7815   17.5835    2.1714  20190228  13.0  4.0  P/2013 N3 (PANSTARRS)                                    MPC_86229
    CK13N040  2013 08 19.2501  1.219645  0.974229  142.2770  322.7734   36.9958  20190228  12.0  4.0  C/2013 N4 (Borisov)                                      MPC_88328
    PK13N050  2013 06 29.6649  1.832319  0.730707  176.8913  187.1996   23.3694  20190228  17.0  4.0  P/2013 N5 (PANSTARRS)                                    MPC_85834
    PK13O020  2021 05 22.7618  2.108843  0.445379  213.5832  207.4232   13.3232  20190228  14.0  4.0  P/2013 O2 (PANSTARRS)                                    MPC_87479
    CK13O030  2013 09  8.8305  3.186704  0.995240  337.9490  276.6092  102.8388  20190228  11.5  4.0  C/2013 O3 (McNaught)                                     MPC_90767
    PK13P010  2013 02 27.7264  3.373411  0.605940  137.9269  160.7104   18.7100  20190228  12.0  4.0  P/2013 P1 (PANSTARRS)                                    MPC_85834
    CK13P020  2014 02 15.2118  2.845133  0.996230  105.0798    2.1221  125.6610  20190228  11.5  4.0  C/2013 P2 (PANSTARRS)                                    MPC_93584
    CK13P030  2014 11 20.6420  8.639053  0.999701  177.0103  177.2393   93.8929  20190228   5.5  4.0  C/2013 P3 (Palomar)                                      MPC111767
    CK13P040  2014 08  9.5669  5.954596  0.594037  113.2815  256.5940    4.2720  20190228   7.5  4.0  C/2013 P4 (PANSTARRS)                                    MPC_96865
    CK13P67E  2013 12  5.9715  1.877255  0.963840   59.9797  325.9933  116.7942  20190228  14.0  4.0  C/2013 PE67 (Catalina-Spacewatch)                        MPC_88696
    CK13R010  2013 12 21.1779  0.817160  0.998254   67.3044   70.5751   63.8537  20190228   7.0  4.0  C/2013 R1 (Lovejoy)                                      MPC102950
    PK13R030  2018 12  6.4482  2.200239  0.274612   11.1117  342.0220    0.8653  20190228  14.0  4.0  P/2013 R3 (Catalina-PANSTARRS)                           MPC_94671
    PK13R03a  2018 12  6.3256  2.200231  0.274582   11.1507  341.9889    0.8647  20190228   9.0  4.0  P/2013 R3-A (Catalina-PANSTARRS)                         unp
    PK13R03b  2018 12  6.5134  2.200248  0.274628   11.0856  342.0447    0.8659  20190228   9.0  4.0  P/2013 R3-B (Catalina-PANSTARRS)                         MPEC_2015-M77
    CK13S010  2013 08  2.3091  2.811308  0.998421  165.8420  221.5839   83.9630  20190228  13.0  4.0  C/2013 S1 (Catalina)                                     MPC_86230
    PK13T010  2013 07 29.5171  2.214973  0.622406  346.0608   10.1219   24.2345  20190228  16.5  4.0  P/2013 T1 (PANSTARRS)                                    MPC_85835
    PK13T020  2019 11 30.4399  1.740190  0.501490  345.3829    0.8675    9.4570  20190228  16.0  4.0  P/2013 T2 (Schwartz)                                     MPC_86643
    CK13T05W  2014 08 16.7830  5.841915  0.978193  190.5059  319.7194   31.4034  20190228   7.5  4.0  C/2013 TW5 (Spacewatch)                                  MPC104789
    PK13TB7L  2020 12 24.3440  1.122116  0.688975  112.2628    3.3165    9.3643  20190228  17.5  4.0  P/2013 TL117 (Lemmon)                                    MPC_88696
    CK13U010  2013 11 18.8826  2.408678  0.796990  142.9956  211.2230   23.9433  20190228  13.5  4.0  C/2013 U1 (Catalina)                                     MPC_86643
    CK13U020  2014 10 26.2312  5.145827  0.989888  107.9276    6.8899   43.2364  20190228   7.5  4.0  C/2013 U2 (Holvorcem)                                    MPC104790
