    cometNumberAndOrbitType year month day perihelionDistancePD eccentricityE orbitalPeriodAndPerihelionW longitudeL inclinationI epochDate magnitudeMag slopeParameter namePart1 namePart2 namePart3 reference
    PK05T030  2026 09 15.9201  6.257801  0.172399    7.9568   27.8933    6.2362  20190228   9.0  4.0  P/2005 T3 (Read)                                         MPC_73461
    PK05T040  2005 09 28.9108  0.648615  0.930684   41.3486   25.4399  160.0928  20190228  15.0  4.0  P/2005 T4 (SWAN)                                         MPC_73461
    PK05T050  2025 06 17.7333  3.276590  0.550801  304.4745   57.0261   21.3362  20190228  11.0  4.0  P/2005 T5 (Broughton)                                    MPC_75706
    PK05W030  2021 09 20.6598  2.899586  0.542933  200.3122  210.2204   16.4103  20190228  12.0  4.0  P/2005 W3 (Kowalski)                                     MPC_56954
    PK05X54A  2021 01 29.2151  1.752180  0.710336   15.1669  143.6995   17.1205  20190228  14.0  4.0  P/2005 XA54 (LONEOS-Hill)                                MPC_75706
    PK05Y020  2020 10 22.4003  3.379475  0.467160  194.2968   94.5177   19.1096  20190228   9.0  4.0  P/2005 Y2 (McNaught)                                     MPC_75706
    PK06F010  2018 03 15.9074  4.108553  0.120553  186.2770  124.7419   21.2776  20190228   8.0  4.0  P/2006 F1 (Kowalski)                                     MPC_75707
    PK06F040  2019 08  2.8160  2.333880  0.338035   31.1729  184.0320   12.3885  20190228  15.0  4.0  P/2006 F4 (Spacewatch)                                   MPC_56954
    PK06H010  2019 12  7.6346  2.421677  0.581055  309.2565  359.9722   12.8074  20190228  12.5  4.0  P/2006 H1 (McNaught)                                     MPC_58118
    PK06H30R  2028 10 18.5838  1.237764  0.841518  117.3897  309.8267   31.8553  20190228  11.0  4.0  P/2006 HR30 (Siding-Spring)                              MPC_75707
    CK06K040  2007 11 25.1237  3.200391  0.997173  233.6871  116.6996  111.5249  20190228   6.0  4.0  C/2006 K4 (NEAT)                                         MPC_73914
    CK06O02F  2008 09  9.6490  2.450322  1.001506   95.6893  318.6419   30.1637  20190228   5.5  4.0  C/2006 OF2 (Broughton)                                   MPC_82313
    CK06Q010  2008 07  3.4058  2.780672  0.999010  344.5536  199.3904   59.1096  20190228   5.0  4.0  C/2006 Q1 (McNaught)                                     MPC112388
    PK06R010  2020 01  4.8634  1.663431  0.704832  249.2799  218.8356  160.0703  20190228  16.0  4.0  P/2006 R1 (Siding-Spring)                                MPC_73461
    PK06S010  2019 10 25.4490  1.418913  0.599653  133.6121  207.9031   12.3267  20190228  17.5  4.0  P/2006 S1 (Christensen)                                  MPC_69905
    CK06S030  2012 04 12.7086  5.153076  1.000107  140.1653   38.3534  166.0229  20190228   2.0  4.0  C/2006 S3 (LONEOS)                                       MPC105235
    PK06S040  2022 01 15.9630  3.104435  0.506861  305.2709   36.1113   39.5655  20190228  11.0  4.0  P/2006 S4 (Christensen)                                  MPC_75707
    CK06S050  2007 12  2.6744  2.656932  0.972387  182.2412  281.5564   10.0983  20190228   8.0  4.0  C/2006 S5 (Hill)                                         MPC_60465
    CK06U060  2008 05 30.3885  2.519845  0.998772  276.7111  180.1323   84.8050  20190228   8.0  4.0  C/2006 U6 (Spacewatch)                                   MPC_66204
    CK06V010  2007 11 28.3379  2.656112  0.983397  253.1921  335.4232   31.3377  20190228   8.0  4.0  C/2006 V1 (Catalina)                                     MPC_62580
    PK06W010  2020 04  3.6775  1.700800  0.707701  232.2463  152.3140   18.5393  20190228  12.0  4.0  P/2006 W1 (Gibbs)                                        MPC105235
    CK06W030  2009 07  4.1715  3.113491  0.999046  133.1751  113.3495  127.0749  20190228   5.0  4.0  C/2006 W3 (Christensen)                                  MPC_82313
    PK07A020  2022 11 29.8050  2.793711  0.557589  186.8749  300.9235   26.4937  20190228  13.5  4.0  P/2007 A2 (Christensen)                                  MPC_75707
    PK07B010  2021 01 25.8181  2.436766  0.580765   46.8448   77.6636   12.3779  20190228  13.5  4.0  P/2007 B1 (Christensen)                                  MPC_59319
    CK07B020  2008 08 24.2977  2.977477  0.995768  206.2266   14.7219   27.5522  20190228   6.0  4.0  C/2007 B2 (Skiff)                                        MPC112388
    PK07C020  2026 04  6.8022  3.747197  0.465766  179.4892  275.8243    8.7163  20190228  10.0  4.0  P/2007 C2 (Catalina)                                     MPC_75707
    CK07D010  2007 06 14.5419  8.837486  0.995969  340.2958  171.0521   41.4964  20190228   3.5  4.0  C/2007 D1 (LINEAR)                                       MPC_84315
    CK07G010  2008 11 16.1475  2.644334  0.999775  223.8936   79.0309   88.6545  20190228   5.5  4.0  C/2007 G1 (LINEAR)                                       MPC_66464
    PK07K020  2026 12 29.1476  2.288038  0.684637  347.5340  188.6499    7.6527  20190228  14.0  4.0  P/2007 K2 (Gibbs)                                        MPC_82314
    CK07K030  2008 04 24.7580  2.023161  0.998912   23.3039  263.1797   16.4202  20190228   9.5  4.0  C/2007 K3 (Siding-Spring)                                MPC_82314
    CK07M010  2008 08  5.4808  7.487605  0.993495   52.6858  326.8655  139.7613  20190228   6.0  4.0  C/2007 M1 (McNaught)                                     MPC_87475
    CK07M020  2008 12 11.6064  3.545695  0.998109  220.7491  357.2408   80.9682  20190228   8.0  4.0  C/2007 M2 (Catalina)                                     MPC112388
    CK07N030  2009 01 10.1138  1.228976  0.999341  136.7329  338.2494  178.3760  20190228   6.5  4.0  C/2007 N3 (Lulin)                                        MPC_73461
    PK07Q020  2020 11 27.3005  1.862132  0.669963  162.8560  172.2306   10.2061  20190228  16.0  4.0  P/2007 Q2 (Gilmore)                                      MPC_60925
    CK07Q030  2009 10  6.2736  2.271686  1.000560    2.2839  149.4422   65.5278  20190228   4.5  4.0  C/2007 Q3 (Siding-Spring)                                MPC_78183
    PK07R010  2022 05 17.8013  4.322831  0.289359  174.9320  180.2202    7.7210  20190228   8.0  4.0  P/2007 R1 (Larson)                                       MPC_75514
    PK07R020  2020 09 15.9405  1.629375  0.543672  352.3306   11.6677    1.2204  20190228  17.0  4.0  P/2007 R2 (Gibbs)                                        MPC_75708
