cometNumberAndOrbitType year month day perihelionDistancePD eccentricityE orbitalPeriodAndPerihelionW longitudeL inclinationI epochDate magnitudeMag slopeParameter namePart1 reference
0051P         2015 08 12.2220  1.698016  0.542401  269.1956   83.6958    5.4246  20190228  10.0  8.0  51P-A/Harrington                                         NK_3014
0051P         2015 08 11.1333  1.697802  0.542335  269.2345   83.6805    5.4254  20190228  16.0  8.0  51P-D/Harrington                                         NK_3013
0052P         2021 10  5.6929  1.778162  0.539462  139.6277  336.8375   10.2307  20190228  13.5  6.0  52P/Harrington-Abell                                     MPC_88330
0053P         2016 04 30.4319  2.426854  0.552322  134.2863  148.8821    6.6068  20190228   7.7  4.8  53P/Van-Biesbroeck                                       MPC_10028
0054P         2017 04 15.3373  2.183091  0.424775    1.7945  358.8314    6.0577  20190228  10.0  6.0  54P/de-Vico-Swift-NEAT                                   NK_2713
0055P         2031 05 20.5291  0.961336  0.907039  172.5847  235.4058  162.3382  20190228  10.0 10.0  55P/Tempel-Tuttle                                        MPC_31070
0056P         2016 07 18.0229  2.506522  0.506219   44.1169  345.9726    8.1514  20190228   8.5  6.0  56P/Slaughter-Burnham                                    MPC101100
0057P         2021 10 17.6082  1.723430  0.500293  115.1466  188.7980    2.8489  20190228  12.5  6.0  57P/du-Toit-Neujmin-Delporte                             MPC_98565
0058P         2020 05 24.9515  1.374710  0.663155  200.4200  159.2062   13.1050  20190228  15.5  6.0  58P/Jackson-Neujmin                                      MPC_65938
0059P         2018 09 16.7498  2.358732  0.475096  127.6975  312.8261    9.3400  20190228   7.0  6.0  59P/Kearns-Kwee                                          MPC111774
0060P         2018 12 11.2332  1.622659  0.537697  216.5541  267.5839    3.6065  20190228  11.5  6.0  60P/Tsuchinshan                                          MPC_94675
0061P         2015 09 30.2859  2.121589  0.424015  221.9706  163.0027    6.0001  20190228   6.0 10.0  61P/Shajn-Schaldach                                      MPC_95213
0062P         2017 11 16.7572  1.381301  0.598913   30.4365   90.1862    9.7291  20190228   8.0 10.0  62P/Tsuchinshan                                          MPC109147
0063P         2013 04  9.6491  1.961685  0.649826  169.1874  358.0031   19.7603  20190228  10.5  6.0  63P/Wild                                                 MPC_84320
0064P         2018 11  3.8923  1.393169  0.687481   97.1509  299.9959    8.9490  20190228   9.5 12.0  64P/Swift-Gehreis                                        MPC111774
0065P         2017 10 17.2104  2.910766  0.250051  213.6328   62.0191    9.1851  20190228   5.0  6.0  65P/Gunn                                                 MPC104795
0066P         2018 05 19.1760  1.290249  0.786923  257.2252   21.8961   18.6736  20190228  12.0  3.6  66P/du-Toit                                              MPC109147
0067P         2021 10 23.5779  1.119103  0.671106   17.4372   42.3847    4.5243  20190228  11.0  4.0  67P/Churyumov-Gerasimenko                                MPC_89011
0068P         2019 11  9.0202  1.793383  0.637944  153.0327  175.1220   11.1119  20190228  10.0  4.0  68P/Klemola                                              MPC_75716
0069P         2019 03 18.2798  2.283389  0.413273  343.5734  104.8303   22.0321  20190228   9.5 12.0  69P/Taylor                                               MPC102100
0070P         2021 11  3.6736  2.009196  0.453172    1.9017  119.2687    6.5984  20190228  11.0  6.0  70P/Kojima                                               MPC_92276
0071P         2017 06 30.3273  1.586539  0.494325  208.9648   59.4450    9.4448  20190228   9.8  6.0  71P/Clark                                                MPC107051
0072P         2023 06 17.4530  0.786708  0.817569  346.6681   26.6981   10.9178  20190228  17.5 10.0  72P/Denning-Fujikawa                                     MPC_89011
0073P         2017 03 17.0108  0.971962  0.685746  199.4094   69.6578   11.2383  20190228  11.5  6.0  73P/Schwassmann-Wachmann                                 MPC106348
0073P         2017 03 17.0062  0.971822  0.685950  199.3909   69.6603   11.2404  20190228  11.5  6.0  73P-BT/Schwassmann-Wachmann                              MPC106348
0074P         2018 01 29.4432  3.537860  0.150575   87.5619   77.0466    6.6545  20190228   5.0  6.0  74P/Smirnova-Chernykh                                    MPC102956
0076P         2019 10 26.1696  1.604684  0.538103    0.0381   84.1255   30.4571  20190228   8.0 12.0  76P/West-Kohoutek-Ikemura                                MPC102100
0077P         2016 05 13.7311  2.340944  0.353083  196.8452   14.8091   24.3391  20190228   7.0  8.0  77P/Longmore                                             MPC_10028
0078P         2019 04  2.6999  2.013823  0.461555  192.6850  210.5481    6.2488  20190228   5.5  8.0  78P/Gehrels                                              MPC102101
0079P         2018 09 13.3362  1.120829  0.619228  281.8405  280.5245    3.1479  20190228  16.0  4.0  79P/du-Toit-Hartley                                      MPC_94675
0080P         2022 12  7.6750  1.611941  0.599434  339.2308  259.8217   29.9491  20190228   9.0  8.0  80P/Peters-Hartley                                       MPC_89313
0081P         2016 07 19.9458  1.594361  0.537737   41.7227  136.1192    3.2379  20190228   7.0  6.0  81P/Wild                                                 MPC105241
0082P         2018 06 28.2017  3.634162  0.122207  227.1320  239.3171    1.1283  20190228   5.0  8.0  82P/Gehrels                                              MPC_75717
0084P         2020 06  3.3682  1.721485  0.515984  281.3333  108.1969    7.5420  20190228   9.5  8.0  84P/Giclas                                               MPC105241
0086P         2022 02  6.9953  2.261633  0.372668  179.2532   72.3813   15.4776  20190228  11.0  6.0  86P/Wild                                                 MPC_79347
0087P         2020 05  9.1080  2.100082  0.389419   24.8768  181.8716    2.6021  20190228   7.2 10.0  87P/Bus                                                  MPC105241
0088P         2020 09 26.6214  1.354124  0.564041  235.8762   56.6946    4.3835  20190228  11.0  6.0  88P/Howell                                               MPC105241
0089P         2016 12 15.0226  2.220085  0.408541  250.1966   41.4399   12.0749  20190228  11.5  6.0  89P/Russell                                              MPC_10028
0090P         2017 06 18.9140  2.973607  0.509388   29.1968   13.2350    9.6357  20190228   8.5  6.0  90P/Gehrels                                              MPC107051
0091P         2020 11  8.9933  2.605566  0.330657  354.6808  247.8335   14.0917  20190228   7.5  6.0  91P/Russell                                              MPC105241
0092P         2015 03  1.3693  1.819811  0.659715  163.6967  181.4243   19.4565  20190228  12.0  6.0  92P/Sanguin                                              MPC_88331
0093P         2017 03  1.1715  1.701839  0.612085   74.9278  339.6160   12.1997  20190228   9.5  6.0  93P/Lovas                                                NK_2707
0094P         2016 10 26.9427  2.227937  0.364761   92.5748   70.8620    6.1879  20190228   9.0  6.0  94P/Russell                                              MPC_84320
0095P         1996 02 25.4784  8.463606  0.380702  339.8079  209.2108    6.9475  20190228   6.3  2.0  95P/Chiron                                               MPC_75717
0096P         2017 10 27.9735  0.123358  0.959338   14.7563   94.2663   58.2996  20190228  13.0  4.8  96P/Machholz                                             MPC106348
0097P         2022 02 15.6794  2.594299  0.459128  228.3582  184.9689   17.8429  20190228   5.5  6.0  97P/Metcalf-Brewington                                   MPC_77020
0098P         2021 01  4.9022  1.664592  0.562084  157.8614  114.7064   10.5595  20190228   9.0  8.0  98P/Takamizawa                                           MPC_83523
0099P         2022 04 10.9542  4.706053  0.230928  174.7561   28.1565    4.3379  20190228   4.5  6.0  99P/Kowal                                                MPC_75718
0100P         2016 04  2.1985  2.013257  0.413132  181.9823   37.7240   25.5854  20190228   9.0  8.0  100P/Hartley                                             MPC_84321
0101P         2020 01 13.6044  2.345451  0.595268  277.7360  116.1865    5.0529  20190228  10.0  4.8  101P/Chernykh                                            MPC105241
0102P         2021 01 22.6673  2.065846  0.457867   20.6112  339.4969   25.8777  20190228   6.5  8.0  102P/Shoemaker                                           MPC_86232
0103P         2017 04 20.1794  1.067867  0.692920  181.3280  219.7271   13.5917  20190228   8.5  8.0  103P/Hartley                                             MPC110085
0104P         2016 04 19.2472  1.066573  0.667469  200.6972  234.7710   10.1116  20190228  16.0  4.0  104P/Kowal                                               MPC_10028
0105P         2018 08 10.2278  2.044370  0.410264   46.4517  192.4199    9.1748  20190228  11.5  6.0  105P/Singer-Brewster                                     MPC109147
0106P         2021 08 16.5211  1.500521  0.599272  353.6509   49.5021   19.9508  20190228  14.0  4.8  106P/Schuster                                            MPC_92276
0107P         2018 05 23.5268  0.969709  0.630834   95.3944  266.8177    2.7982  20190228  16.0  2.0  107P/Wilson-Harrington                                   MPC_94676
0108P         2021 09  3.2479  1.597131  0.568928  354.1541   51.6348   12.0071  20190228   8.0 12.0  108P/Ciffreo                                             MPC_89313
0109P         1992 11 28.4809  0.951335  0.963528  152.9027  139.3011  113.6580  20190228   4.5  6.0  109P/Swift-Tuttle                                        105/420
0110P         2021 10 19.0083  2.460951  0.316942  167.3738  287.5283   11.7046  20190228   1.0 12.0  110P/Hartley                                             MPC_91618
0111P         2021 06 19.2526  3.705766  0.105220    1.5074   89.7630    4.2275  20190228   5.0  8.0  111P/Helin-Roman-Crockett                                MPC_75718
0112P         2020 02  7.9724  1.447150  0.589589   21.4689   31.8589   24.1910  20190228  14.0  6.0  112P/Urata-Niijima                                       MPC105241
0113P         2022 04 11.5306  1.890199  0.473596   90.8029  333.1346    4.1183  20190228  13.5  4.0  113P/Spitaler                                            MPC_92984
0114P         2020 01 14.1324  1.579306  0.554606  172.8311  271.0606   18.2725  20190228  11.5  6.0  114P/Wiseman-Skiff                                       MPC105241
0115P         2020 07 29.9596  2.056882  0.518506  121.0461  176.0394   11.6750  20190228  10.5  6.0  115P/Maury                                               MPC105241
0116P         2016 01 11.3178  2.191089  0.371575  173.4081   21.0018    3.6063  20190228   2.5 10.0  116P/Wild                                                MPC106348
0117P         2022 07  6.3380  3.045465  0.255381  222.5449   58.8744    8.7015  20190228   2.5  8.0  117P/Helin-Roman-Alu                                     MPC_95735
0118P         2016 06 24.6814  1.941626  0.437683  304.1780  149.6549    8.5322  20190228  12.0  4.0  118P/Shoemaker-Levy                                      MPC_95735
0119P         2022 08  5.7168  2.501924  0.378454  181.1285  240.5062    5.8007  20190228   3.5  8.0  119P/Parker-Hartley                                      MPC_84628
0120P         2021 05  3.0918  2.496984  0.375481   34.0620  359.9728    8.4769  20190228  12.0  4.0  120P/Mueller                                             MPC_80901
0121P         2023 06 29.8694  3.746502  0.183761   11.2534   94.1421   20.1641  20190228   6.5  8.0  121P/Shoemaker-Holt                                      MPC_10028
0122P         1995 09 29.0273  0.663596  0.962394   13.0387   79.4990   84.5520  20190228   7.5  5.2  122P/de-Vico                                             MPC_75718
0123P         2019 02  5.1152  2.126880  0.448628  103.0111   46.4994   15.3596  20190228   4.0 10.0  123P/West-Hartley                                        MPC102101
0124P         2020 04 26.8428  1.647353  0.503622  183.8380    0.3847   31.5134  20190228  13.5  2.8  124P/Mrkos                                               MPC105242
0125P         2018 08 27.9313  1.520123  0.513432   87.1699  153.1741    9.9893  20190228  13.0  6.0  125P/Spacewatch                                          MPC_94676
0126P         2023 07  6.4755  1.718505  0.695468  356.4977  357.8249   45.8050  20190228   6.0  8.0  126P/IRAS                                                MPC_66205
0127P         2016 03 16.8369  2.207564  0.359889    6.6262   13.6512   14.3007  20190228  11.0  6.0  127P/Holt-Olmstead                                       MPC_84321
0128P         2017 01 10.2306  3.055842  0.320436  210.4986  214.2951    4.3648  20190228   8.5  4.0  128P/Shoemaker-Holt                                      MPC_75719
0129P         2022 12  9.1487  3.918241  0.084133  308.6373  184.8911    3.4441  20190228  11.0  4.0  129P/Shoemaker-Levy                                      MPC_10028
0130P         2018 01 21.8226  1.823584  0.461011  245.9251   70.2557    6.0653  20190228  10.0  6.0  130P/McNaught-Hughes                                     MPC_78188
0131P         2019 01 24.2177  2.417501  0.343325  179.0746  214.1921    7.3538  20190228  11.0  4.0  131P/Mueller                                             MPC102101
0132P         2021 11 12.6387  1.673281  0.567605  216.3662  174.5035    5.3934  20190228  11.0  6.0  132P/Helin-Roman-Alu                                     MPC_92985
0133P         2018 09 20.7908  2.664838  0.157242  131.5017  160.1351    1.3893  20190228  15.4  2.0  133P/Elst-Pizarro                                        MPC_94676
0134P         2014 05 22.1337  2.577608  0.587741   18.8050  202.0833    4.3492  20190228  11.5  4.0  134P/Kowal-Vavrova                                       MPC_89012
0135P         2022 04  6.3090  2.679545  0.295776   22.1534  213.0740    6.0628  20190228   7.0  8.0  135P/Shoemaker-Levy                                      MPC_92985
0136P         2016 05 30.4882  2.975101  0.291396  224.9663  137.4346    9.4198  20190228  11.0  4.0  136P/Mueller                                             MPC101100
0137P         2018 12 13.3886  1.930214  0.572909  141.0146  233.0807    4.8539  20190228  11.0  4.0  137P/Shoemaker-Levy                                      MPC_75719
0138P         2019 05  2.7673  1.702793  0.530070   95.6159  309.3324   10.0897  20190228  15.0  6.0  138P/Shoemaker-Levy                                      MPC102101
0139P         2017 12 10.2429  3.413716  0.246132  165.9616  242.2097    2.3333  20190228   9.5  4.0  139P/Vaisala-Oterma                                      MPC108598
0140P         2015 08  7.9619  1.989763  0.691188  172.9625  343.3617    3.8227  20190228  11.5  6.0  140P/Bowell-Skiff                                        MPC_92985
0141P         2020 12 14.7286  0.800663  0.737612  153.6907  241.8656   13.9931  20190228  12.0 12.0  141P/Machholz                                            MPC105242
0142P         2021 05 13.9880  2.501641  0.498224  174.1923  176.2423   12.2575  20190228   8.5  6.0  142P/Ge-Wang                                             MPC_71683
0143P         2018 05  6.8723  2.530909  0.410887  320.7343  245.3002    4.6976  20190228  13.5  2.0  143P/Kowal-Mrkos                                         MPC_94676
0144P         2016 09  3.0223  1.395394  0.635962  215.4638  245.4556    4.1754  20190228   8.5  8.0  144P/Kushida                                             MPC104795
0145P         2017 08 31.7843  1.903474  0.540577   10.3251   26.8031   11.2602  20190228  13.5  4.0  145P/Shoemaker-Levy                                      MPC108598
0146P         2016 06 29.9024  1.428964  0.645903  316.9175   53.4519   23.0737  20190228  15.0  4.0  146P/Shoemaker-LINEAR                                    MPC_10028
0147P         2016 03  5.0267  2.808595  0.271101  350.1405   93.3640    2.3794  20190228  14.0  4.0  147P/Kushida-Muramatsu                                   MPC_75720
0148P         2022 06 19.0888  1.679217  0.541720    6.4571   89.7141    3.6878  20190228  16.0  2.0  148P/Anderson-LINEAR                                     MPC_89730
0149P         2019 02 16.9982  2.633540  0.389881   43.7983  145.2338   29.7708  20190228   8.0  8.0  149P/Mueller                                             MPC_75720
0150P         2016 07 24.5109  1.759667  0.546564  245.6265  272.4092   18.5086  20190228  13.5  4.0  150P/LONEOS                                              MPC_75720
0151P         2015 10  7.9588  2.468010  0.572130  216.1083  143.1419    4.7230  20190228  10.0  6.0  151P/Helin                                               MPC_95214
0152P         2022 01 12.4035  3.098605  0.309109  163.6630   91.8699    9.8796  20190228  11.5  4.0  152P/Helin-Lawrence                                      MPC_79346
0153P         2002 03 16.9715  0.521859  0.989800   35.1729   93.0533   27.7144  20190228   7.0  4.0  153P/Ikeya-Zhang                                         MPC_46101
0154P         2013 12  5.4222  1.562911  0.674694   47.9151  342.9828   17.6227  20190228   2.5 12.0  154P/Brewington                                          MPC_87068
0155P         2019 11 15.2230  1.801619  0.726575   14.6813   97.1994    6.3958  20190228  10.0  4.8  155P/Shoemaker                                           MPC_75720
0156P         2020 11 16.5254  1.326598  0.617045  359.9495   35.8855   17.4479  20190228  15.5  2.0  156P/Russell-LINEAR                                      MPC105242
