cometNumberAndOrbitType year month day perihelionDistancePD eccentricityE orbitalPeriodAndPerihelionW longitudeL inclinationI epochDate magnitudeMag slopeParameter namePart1 reference
0202P         2016 06 21.0522  2.579901  0.328068  260.0014  193.4229    2.1480  20190228  13.5  4.0  202P/Scotti                                              MPC103849
0203P         2020 03  5.4109  3.199270  0.314723  154.9418  290.3560    2.9732  20190228  14.5  2.0  203P/Korlevic                                            MPC112393
0204P         2015 12 12.6536  1.910455  0.475664  354.8559  108.8356    6.6142  20190228  14.0  4.0  204P/LINEAR-NEAT                                         MPC_98566
0205P         2022 01 13.9137  1.533604  0.567283  154.1592  179.6027   15.2917  20190228  13.0  4.0  205P/Giacobini                                           MPC_98566
0206P         2021 03  4.4382  1.562431  0.551793  189.3756  202.5361   33.7084  20190228  19.0  4.0  206P/Barnard-Boattini                                    MPC_75725
0207P         2016 07  1.1922  0.933202  0.758833  271.2745  200.4182   10.1551  20190228  16.0  4.0  207P/NEAT                                                MPC_75725
0208P         2016 07  1.6592  2.540939  0.372535  310.3835   36.3976    4.4079  20190228  12.5  4.0  208P/McMillan                                            MPC101100
0209P         2019 06 12.8047  0.967527  0.673282  152.4973   62.7717   21.2586  20190228  17.0  2.0  209P/LINEAR                                              MPC_90771
0210P         2020 04  8.0156  0.529632  0.832899  345.8459   93.8286   10.2564  20190228  13.5  4.0  210P/Christensen                                         MPC105242
0211P         2016 01 26.8086  2.341117  0.340992    4.1698  117.1311   18.9094  20190228  12.5  4.0  211P/Hill                                                MPC_96868
0212P         2016 09 11.0142  1.631542  0.582326   14.9173   98.7088   22.5525  20190228  17.0  2.0  212P/NEAT                                                MPC104795
0213P         2017 09 24.4878  1.983114  0.407820    5.5771  311.3097   10.3783  20190228  10.5  4.0  213P/Van-Ness                                            MPC110085
0214P         2015 11 12.2012  1.855615  0.486584  190.3049  348.2740   15.1949  20190228  13.0  4.0  214P/LINEAR                                              MPC_92986
0215P         2019 11 16.7704  3.605148  0.168643  261.8206   56.7132   10.5836  20190228  11.0  4.0  215P/NEAT                                                MPC102102
0216P         2016 05 30.4266  2.147619  0.445266  151.4345  359.8354    9.0477  20190228  13.0  4.0  216P/LINEAR                                              MPC_10028
0217P         2017 07 16.5400  1.234541  0.687759  246.9075  125.4573   12.8598  20190228  12.0  4.0  217P/LINEAR                                              MPC108598
0218P         2020 10  3.6732  1.170083  0.622017   59.7289  176.0018    2.7251  20190228  16.0  4.0  218P/LINEAR                                              MPC105242
0219P         2017 02 20.6297  2.363485  0.352914  107.3496  231.0216   11.5294  20190228  11.0  4.0  219P/LINEAR                                              MPC_10028
0220P         2020 12 10.8668  1.552326  0.501583  180.5825  150.1115    8.1276  20190228  15.0  4.0  220P/McNaught                                            MPC105242
0221P         2021 12 17.7489  1.754921  0.492684   39.9638  229.7473   11.4281  20190228  14.5  4.0  221P/LINEAR                                              MPC_93589
0222P         2019 06  5.0492  0.828365  0.714264  346.2126    6.8151    5.0942  20190228  20.0  4.0  222P/LINEAR                                              MPC_92277
0223P         2019 01 27.2688  2.430873  0.415391   37.8243  346.7924   27.0139  20190228  12.0  4.0  223P/Skiff                                               MPC112394
0224P         2016 05 22.8788  2.014675  0.412205   16.8162   40.4798   13.3922  20190228  15.5  4.0  224P/LINEAR-NEAT                                         MPC_75727
0225P         2016 08 16.5505  1.325103  0.637189    3.8968   14.1832   21.3350  20190228  18.0  4.0  225P/LINEAR                                              MPC_75727
0226P         2016 09  4.5716  1.778019  0.528197  341.1042   54.0067   44.0040  20190228  12.5  4.0  226P/Pigott-LINEAR-Kowalski                              MPC106349
0227P         2017 06 22.3853  1.781460  0.502575   90.0929   49.7628    6.5218  20190228  16.5  2.0  227P/Catalina-LINEAR                                     MPC102956
0228P         2020 03 10.7759  3.435609  0.177333  115.3069   31.0039    7.9098  20190228  14.5  2.0  228P/LINEAR                                              MPC107687
0229P         2017 05 20.4803  2.454610  0.376022  224.0640  157.8948   26.0727  20190228  13.0  4.0  229P/Gibbs                                               MPC106349
0230P         2022 03  9.9481  1.501174  0.560682  313.5376  107.7727   15.2505  20190228  13.0  4.0  230P/LINEAR                                              MPC110497
0231P         2019 06 14.1826  3.022493  0.247687   42.7367  133.0287   12.3337  20190228  14.5  2.0  231P/LINEAR-NEAT                                         MPC102102
0232P         2019 04  6.5968  2.984526  0.334764   53.5508   56.0304   14.6306  20190228  11.5  4.0  232P/Hill                                                MPC112394
0233P         2020 10  1.8433  1.782720  0.411535   27.0972   74.9266   11.2842  20190228  15.0  4.0  233P/La-Sagra                                            MPC_92986
0234P         2017 05 30.4762  2.841911  0.253654  357.6359  179.6122   11.5160  20190228  12.0  4.0  234P/LINEAR                                              MPC110497
0235P         2018 03 17.8677  2.731206  0.316976  333.8343  204.4219    8.8952  20190228  12.0  4.0  235P/LINEAR                                              MPC110497
0236P         2017 11 20.1249  1.836807  0.507949  119.2310  245.6711   16.3341  20190228  14.0  4.0  236P/LINEAR                                              MPC107688
0237P         2016 10 12.0281  1.985042  0.434787   25.1167  245.4226   14.0251  20190228  14.5  2.0  237P/LINEAR                                              MPC109593
0238P         2016 10 22.0311  2.364995  0.252318  324.7989   51.6431    1.2646  20190228  14.5  4.0  238P/Read                                                MPC107688
0239P         2019 01 10.1605  1.649476  0.631002  220.3790  255.9084   11.3056  20190228  17.5  2.0  239P/LINEAR                                              MPC112394
0240P         2018 05 15.8034  2.133623  0.448813  352.0722   74.9270   23.5042  20190228  11.0  4.0  240P/NEAT                                                MPC109593
0241P         2021 07 26.0807  1.939040  0.609166  110.5833  305.6422   20.9199  20190228  13.5  4.0  241P/LINEAR                                              MPC_75729
0242P         2025 01 10.2073  3.955043  0.277606  246.4490  180.5818   32.4845  20190228   8.0  4.0  242P/Spahr                                               MPC_81861
0243P         2018 08 25.9998  2.454393  0.359414  283.5522   87.6578    7.6416  20190228  12.5  4.0  243P/NEAT                                                MPC111774
0244P         2022 11 17.1362  3.929013  0.197571   92.8401  354.0013    2.2584  20190228   9.0  4.0  244P/Scotti                                              MPC_88331
0245P         2018 02  8.7214  2.190302  0.457789  316.7087  316.6739   21.1981  20190228  14.0  4.0  245P/WISE                                                MPC111774
0246P         2021 02 22.1861  2.866062  0.286766  176.1274   78.7515   15.9872  20190228  10.5  4.0  246P/NEAT                                                MPC_93589
0247P         2018 12  2.1029  1.489067  0.624956   47.4496   54.0103   13.6615  20190228  16.5  2.0  247P/LINEAR                                              MPC112394
0248P         2025 09 21.3085  2.169015  0.637767  210.0060  207.7567    6.3478  20190228  14.0  4.0  248P/Gibbs                                               MPC_75730
0249P         2020 06 29.5412  0.497275  0.819955   65.5778  239.1913    8.3969  20190228  15.5  4.0  249P/LINEAR                                              MPC105243
0250P         2018 02  2.4571  2.214237  0.406915   45.1903   73.6779   13.2912  20190228  14.5  4.0  250P/Larson                                              MPC110497
0251P         2017 07 16.5934  1.733409  0.505881   31.2012  219.4076   23.4191  20190228  16.5  2.0  251P/LINEAR                                              MPC104795
0252P         2021 07 10.7915  0.998541  0.672418  343.3444  190.9545   10.4176  20190228  17.5  4.0  252P/LINEAR                                              MPC102956
0253P         2018 05  7.6880  2.036517  0.413026  230.7104  146.8768    4.9405  20190228  14.5  4.0  253P/PANSTARRS                                           MPC112394
0254P         2020 09 28.6054  3.137290  0.322136  219.2435  129.2580   32.4975  20190228  11.0  4.0  254P/McNaught                                            MPC_81473
0255P         2017 05  4.4308  1.001292  0.670199  179.8934  279.4218   18.4264  20190228  20.0  4.0  255P/Levy                                                NK_2214
0256P         2023 03 11.1843  2.692304  0.419088  124.3227   81.3475   27.6398  20190228  14.0  2.0  256P/LINEAR                                              MPC_84027
0257P         2020 09 11.1503  2.140346  0.430719  117.7668  207.7841   20.2363  20190228  11.5  4.0  257P/Catalina                                            MPC_88332
0258P         2020 06 19.6482  3.481114  0.209617   26.1324  126.2515    6.7445  20190228  13.0  4.0  258P/PANSTARRS                                           MPC_79655
0259P         2017 08  4.1598  1.808467  0.338015  257.5168   51.4816   15.8890  20190228  15.5  4.0  259P/Garradd                                             MPC106349
0260P         2019 09  9.9339  1.416861  0.608885   18.3642  349.3638   15.0511  20190228  13.5  4.0  260P/McNaught                                            MPC102102
0261P         2019 06 18.6377  2.013425  0.422710   67.1022  291.1669    6.0760  20190228  14.0  4.0  261P/Larson                                              MPC102102
0262P         2012 11 29.7933  1.276935  0.814421  171.0137  217.9355   29.1202  20190228  13.5  4.0  262P/McNaught-Russell                                    MPC_82322
0263P         2017 09 29.9553  1.260335  0.588026   34.5401  105.8065   11.5426  20190228  18.0  4.0  263P/Gibbs                                               MPC_82323
0264P         2019 08  4.9333  2.438526  0.373724  346.6216  220.9030   25.1506  20190228  13.0  4.0  264P/Larsen                                              MPC102102
0265P         2021 02  8.8517  1.490500  0.648691   33.3406  343.2899   14.3747  20190228  14.5  4.0  265P/LINEAR                                              MPC_79870
0266P         2020 04 19.6184  2.334617  0.339368   97.9125    5.0089    3.4271  20190228  12.5  4.0  266P/Christensen                                         MPC_90771
0267P         2018 07 22.3223  1.241052  0.613662  114.0785  228.6889    6.1380  20190228  19.5  4.0  267P/LONEOS                                              MPC_81862
0268P         2015 04 25.9887  2.416446  0.469664    0.2161  127.5907   16.1117  20190228  14.0  4.0  268P/Bernardi                                            MPC_92277
0269P         2014 10  5.8298  4.024944  0.431983  226.0738  241.7036    7.0728  20190228  10.0  4.0  269P/Jedicke                                             MPC104795
0270P         2013 06 10.2376  3.556914  0.467011  210.0537  222.9584    2.9166  20190228   8.0  4.0  270P/Gehrels                                             MPC_88332
0271P         2013 07 10.0063  4.286454  0.392561   36.6354    9.2899    6.8594  20190228  11.0  4.0  271P/van-Houten-Lemmon                                   MPC_92277
0272P         2022 07 17.6306  2.428492  0.454397   28.0731  109.4732   18.0779  20190228  16.0  2.0  272P/NEAT                                                MPC_81862
0273P         2012 12 16.6417  0.819254  0.974064   20.2348  320.3992  136.6335  20190228  11.5  4.0  273P/Pons-Gambart                                        MPC_82723
0274P         2022 04  9.2154  2.452170  0.438643   38.5906   81.3364   15.8178  20190228  13.0  4.0  274P/Tombaugh-Tenagra                                    MPC_88332
0275P         2012 12 26.1347  1.654164  0.713260  174.1385  348.7482   21.3112  20190228  15.0  4.0  275P/Hermann                                             MPC_81862
0276P         2024 12 22.5307  3.871680  0.269279  200.4511  211.5949   14.8718  20190228  11.5  4.0  276P/Vorobjov                                            MPC_84935
0277P         2020 12 30.3433  1.908885  0.504892  152.1868  276.3391   16.7744  20190228  14.0  4.0  277P/LINEAR                                              MPC105243
0278P         2020 09 11.9475  2.088086  0.434840  238.0112   15.4608    6.6839  20190228  14.0  4.0  278P/McNaught                                            MPC105243
0279P         2016 07 14.4430  2.156178  0.397310    5.7738  346.2245    5.0484  20190228  14.0  4.0  279P/La-Sagra                                            MPC_10028
0280P         2023 08  2.8739  2.633403  0.418469  104.7397  131.4226   11.7712  20190228  12.5  4.0  280P/Larsen                                              MPC_89013
0281P         2023 02  5.5982  4.031610  0.171500   27.1238   87.1710    4.7198  20190228  11.0  4.0  281P/MOSS                                                MPC_83145
0282P         2021 10 22.7231  3.442502  0.189547  217.3153    9.3258    5.8088  20190228  13.5  2.0  282P                                                     unp
0283P         2021 09  7.7666  2.129146  0.485480   22.2838  161.1694   14.4568  20190228  16.0  2.0  283P/Spacewatch                                          MPC_84027
0284P         2021 09 13.9168  2.293068  0.375683  202.7412  144.2899   11.8590  20190228  13.0  4.0  284P/McNaught                                            MPC_93589
0285P         2023 01 13.7722  1.724805  0.617508  178.4242  185.4754   25.0127  20190228  15.0  4.0  285P/LINEAR                                              MPC_85339
0286P         2022 05 12.8062  2.366870  0.424657   24.6884  283.9584   17.0433  20190228  14.0  4.0  286P/Christensen                                         MPC_90771
0287P         2014 12 28.0916  3.045633  0.269809  188.7995  139.0311   16.3122  20190228  13.5  4.0  287P/Christensen                                         MPC_96868
0288P         2016 11  7.6301  2.434174  0.201208  280.8594   83.1873    3.2403  20190228  16.0  2.0  288P                                                     unp
0289P         2019 12 20.9927  0.959151  0.685049    9.8346   68.9276    5.8977  20190228  10.0  4.0  289P/Blanpain                                            MPC102102
0290P         2014 03 12.1519  2.159792  0.647716  180.9326  303.2587   19.1777  20190228  10.5  4.0  290P/Jager                                               MPC_95214
0291P         2023 05  7.7015  2.504016  0.441394  174.7122  238.3494    6.3829  20190228  13.0  4.0  291P/NEAT                                                MPC_89314
0292P         2014 01 30.5599  2.524289  0.587172  319.5481   91.0024   24.2519  20190228  12.5  4.0  292P/Li                                                  MPC110085
0293P         2020 12 19.5075  2.118503  0.418169   41.1602   78.4093    9.0573  20190228  14.5  4.0  293P/Spacewatch                                          MPC_92278
0294P         2019 11 29.7040  1.300480  0.594289  235.5214  312.6026   18.2135  20190228  15.5  4.0  294P/LINEAR                                              MPC_89013
0295P         2014 05 10.4913  2.036183  0.616332   73.0031    7.4790   21.0835  20190228  12.0  4.0  295P/LINEAR                                              MPC_93589
0296P         2020 09 17.8324  1.824439  0.478495  350.0645  263.6414   25.2350  20190228  14.0  4.0  296P/Garradd                                             MPC_92278
0297P         2021 01 22.4406  2.344233  0.319499  132.3867   97.6609   10.3281  20190228  15.0  4.0  297P/Beshore                                             MPC102956
0298P         2020 09  6.4129  2.202088  0.387132  100.7365   52.8306    7.8717  20190228  15.0  4.0  298P/Christensen                                         MPC105243
0299P         2015 02 24.7955  3.143366  0.282604  323.8388  271.6251   10.4776  20190228  11.5  4.0  299P/Catalina-PANSTARRS                                  MPC101100
0300P         2018 11  2.0535  0.832807  0.691498  222.8529   95.6709    5.6764  20190228  16.0  4.0  300P/Catalina                                            MPC111774
0301P         2014 09  1.4017  2.370880  0.586600  193.7221  351.1776   10.3554  20190228  13.0  4.0  301P/LINEAR-NEAT                                         MPC_89014
0302P         2016 04 30.2615  3.298674  0.229154  208.1626  121.7545    6.0323  20190228  12.5  4.0  302P/Lemmon-PANSTARRS                                    MPC108598
0303P         2014 10 13.5701  2.480022  0.509162  356.8497  347.9818    7.0105  20190228  13.5  4.0  303P/NEAT                                                MPC_92278
0304P         2020 08 11.2039  1.254359  0.602631  335.0417   59.0553    2.6246  20190228  16.5  4.0  304P/Ory                                                 MPC_92987
0305P         2014 11 15.0902  1.429997  0.692256  147.2832  240.1492   11.6362  20190228  18.0  4.0  305P/Skiff                                               MPC101100
0306P         2020 01 22.8523  1.269012  0.593422    0.8018  341.4242    8.3118  20190228  19.0  4.0  306P/LINEAR                                              MPC_92278
0307P         2014 12 18.9500  1.894890  0.673252  222.2452  158.0988    4.4271  20190228  15.0  4.0  307P/LINEAR                                              MPC_91619
0308P         2015 05  5.1232  4.220179  0.362050  333.7714   63.1331    4.8489  20190228  13.0  2.0  308P/Lagerkvist-Carsenty                                 MPC109148
0309P         2015 02 13.2238  1.667628  0.618274   49.9952   10.2448   17.0497  20190228  15.0  4.0  309P/LINEAR                                              MPC_94284
0310P         2015 04 15.0552  2.412600  0.422198   31.9665    8.9508   13.1362  20190228  13.5  4.0  310P/Hill                                                MPC_98566
0311P         2020 10  6.4331  1.937420  0.115142  144.2214  279.2318    4.9680  20190228  17.0  4.0  311P/PANSTARRS                                           MPC109593
0312P         2020 09 25.1138  1.979508  0.428715  207.6022  144.7697   19.7581  20190228  16.0  4.0  312P/NEAT                                                MPC_92279
0313P         2020 04 14.2770  2.419773  0.235572  254.3744  105.9767   10.9777  20190228  15.0  4.0  313P/Gibbs                                               MPC111774
0314P         2016 10 10.1376  4.242023  0.417284  214.1925  267.6245    3.9788  20190228   9.5  4.0  314P/Montani                                             MPC105243
0315P         2016 12  6.5763  2.388050  0.521007   66.3085   69.4769   17.9912  20190228  11.0  4.0  315P/LONEOS                                              MPC111774
0316P         2015 11  4.6835  3.609993  0.165803  193.5470  246.7669    9.9072  20190228  13.5  4.0  316P/LONEOS-Christensen                                  MPC_92279
0317P         2020 09 26.1110  1.274319  0.570443  334.8671  275.5194   11.9500  20190228  17.5  4.0  317P/WISE                                                MPC102103
0318P         2015 10 22.5780  2.442045  0.674288  313.0871   35.7076   17.8701  20190228   8.5  6.0  318P/McNaught-Hartley                                    MPC102103
0319P         2022 03 31.6853  1.192663  0.665977  203.5917  111.3694   15.0915  20190228  15.0  4.0  319P/Catalina-McNaught                                   MPC_97499
0320P         2021 01 17.2119  0.973646  0.685456    0.7416  295.9220    4.9075  20190228  20.5  4.0  320P/McNaught                                            MPC_95736
0321P         2020 01 17.2665  0.045951  0.981033  172.7158  165.0494   20.0293  20190228  20.0  4.0  321P/SOHO                                                MPEC_2017-L52
0321P         2020 01 17.2389  0.045845  0.981077  172.5581  165.2020   20.1758  20190228  20.0  4.0  321P/SOHO                                                MPC_94284
0322P         2019 08 31.5028  0.050657  0.979816   56.7885  351.6227   11.4761  20190228  19.0  4.0  322P/SOHO                                                MPC102103
0323P         2021 01 17.9509  0.039405  0.984745  354.3397  322.9807    4.6905  20190228  20.0  4.0  323P/SOHO                                                MPC102957
0324P         2021 05  8.6513  2.616290  0.154309   58.2934  270.6424   21.4239  20190228  13.0  4.0  324P/La-Sagra                                            MPC108598
0325P         2022 03 28.4943  1.430817  0.594016  343.6607  257.5800   16.7033  20190228  14.0  4.0  325P/Yang-Gao                                            MPC_95736
0326P         2015 10 21.5700  2.778284  0.316751  278.6620   99.8132    2.4707  20190228  13.5  4.0  326P/Hill                                                MPC103849
0327P         2015 12 11.8572  1.560177  0.562241  185.0344  173.9618   36.2210  20190228  16.0  4.0  327P/Van-Ness                                            MPC_97499
0328P         2015 12 23.6295  1.885663  0.550867   30.5345  341.6009   17.6551  20190228  14.5  4.0  328P/LONEOS-Tucker                                       MPC109148
0329P         2015 12  2.2163  1.676735  0.677301  343.6128   87.6898   21.6616  20190228  13.5  4.0  329P/LINEAR-Catalina                                     MPC101101
0330P         2016 08 31.0861  2.976161  0.551493  188.7531  293.2391   15.6590  20190228  12.0  4.0  330P/Catalina                                            MPC105243
0331P         2020 09 25.5035  2.883329  0.040335  182.8547  216.7918    9.7403  20190228  12.0  4.0  331P/Gibbs                                               MPC110497
0332P         2021 08 18.4497  1.575011  0.489736  152.4245    3.7918    9.3846  20190228  18.0  4.0  332P/Ikeya-Murakami                                      MPEC_2016-K18
0332P         2021 08 18.4496  1.575012  0.489735  152.4243    3.7918    9.3846  20190228  18.0  4.0  332P-A/Ikeya-Murakami                                    MPC_99822
0332P         2016 03 17.1650  1.572891  0.489707  152.3711    3.8028    9.3805  0         19.0  4.0  332P-B/Ikeya-Murakami                                    MPEC_2016-EI8
0332P         2021 08 18.3719  1.574979  0.489740  152.4157    3.7922    9.3837  20190228  16.5  4.0  332P-C/Ikeya-Murakami                                    MPC_99822
0332P         2016 03 17.2819  1.572064  0.489778  152.4393    3.7923    9.3761  0         19.0  4.0  332P-D/Ikeya-Murakami                                    MPEC_2016-ED0
0332P         2016 03 17.0610  1.573139  0.489220  152.2825    3.8228    9.3774  0         21.0  4.0  332P-E/Ikeya-Murakami                                    MPEC_2016-ED0
0332P         2016 03 17.8554  1.584174  0.499189  152.8203    3.4757    9.5293  0         21.0  4.0  332P-F/Ikeya-Murakami                                    MPEC_2016-ED0
0332P         2016 03 19.5375  1.549652  0.492004  154.4000    3.6955    9.2523  0         19.0  4.0  332P-G/Ikeya-Murakami                                    MPEC_2016-ED0
0332P         2021 08 18.7303  1.574963  0.489776  152.4165    3.7919    9.3842  20190228  19.0  4.0  332P-H/Ikeya-Murakami                                    MPC100285
0332P         2021 08 18.7303  1.574963  0.489776  152.4165    3.7919    9.3842  20190228  19.0  4.0  332P-H/Ikeya-Murakami                                    MPEC_2016-K18
0332P         2016 03 17.3515  1.573073  0.489555  152.3297    3.8048    9.3791  0         20.5  2.0  332P-I/Ikeya-Murakami                                    MPEC_2016-ED0
0332P         2016 03 17.7739  1.575357  0.494294  152.7712    3.6729    9.4296  0         22.5  2.0  332P-J/Ikeya-Murakami                                    MPEC_2016-EI8
0333P         2016 04  3.5257  1.114875  0.735986   26.1172  115.5789  131.8742  20190228  15.0  4.0  333P/LINEAR                                              MPC104796
0334P         2017 05 17.4897  4.198025  0.372017   82.8607   91.6237   19.5089  20190228  10.5  4.0  334P/NEAT                                                MPC111774
0335P         2015 11  5.2552  1.629507  0.544730  162.2730  330.8438    7.2883  20190228  17.0  4.0  335P/Gibbs                                               MPC_10028
0336P         2017 02  3.3390  2.783499  0.446171  308.6006  298.2436   17.8350  20190228  13.5  4.0  336P/McNaught                                            MPC105244
0337P         2016 07 13.6465  1.654075  0.496943  160.9337  106.0755   15.3712  20190228  17.0  4.0  337P/WISE                                                MPC112394
0338P         2016 11 21.8421  2.300020  0.410371    4.4495    9.7957   25.3541  20190228  12.0  4.0  338P/McNaught                                            MPC104796
0339P         2016 07 24.0253  1.342263  0.636618   27.4978  172.7706    5.7408  20190228  17.0  4.0  339P/Gibbs                                               MPC101101
0340P         2016 11 18.5827  3.061383  0.280060   35.7602  291.7307    2.0792  20190228  13.0  4.0  340P/Boattini                                            MPC102957
0341P         2016 05 26.8065  2.516873  0.414266  312.0839   30.0404    3.7933  20190228  12.5  4.0  341P/Gibbs                                               MPC109148
0342P         2021 10 20.9940  0.052873  0.982618   57.3804   44.0510   12.9739  20190228  20.0  4.0  342P/SOHO                                                MPC101101
0343P         2017 01 27.4917  2.278609  0.583238  137.4520  257.2514    5.5828  20190228  14.0  4.0  343P/NEAT-LONEOS                                         MPC109148
0344P         2016 10 31.7830  2.820062  0.421188  140.5294  273.1914    3.4902  20190228  13.0  4.0  344P/Read                                                MPC109148
0345P         2016 07 15.3534  3.154768  0.219741  196.3967  154.5013    2.7251  20190228  12.0  4.0  345P/LINEAR                                              MPC109148
0346P         2017 02 15.3266  2.224605  0.503119  336.0323  102.4796   22.1835  20190228  14.0  4.0  346P/Catalina                                            MPC110086
0347P         2016 09 11.2184  2.221321  0.384583   98.3170  261.0525   11.7475  20190228  15.0  4.0  347P/PANSTARRS                                           MPC108599
0348P         2016 06 25.1469  2.206943  0.303064  134.5948  313.1731   17.6157  20190228  14.0  4.0  348P/PANSTARRS                                           MPC104796
0349P         2017 08 26.5484  2.498912  0.300039  255.9704  331.7628    5.4927  20190228  14.0  4.0  349P/Lemmon                                              MPC112394
0350P         2018 01  9.5635  3.743089  0.090874  143.9048   65.4963    7.3668  20190228  14.0  4.0  350P/McNaught                                            MPC111775
0351P         2015 11 17.6978  3.121486  0.296259  352.5109  283.4543   12.7891  20190228  12.5  4.0  351P/PANSTARRS                                           MPC105244
0352P         2017 06 21.6668  2.535128  0.617671  309.0750   28.1499   21.0137  20190228  11.5  4.0  352P/Skiff                                               MPC110086
0353P         2017 12 20.9529  2.213657  0.469380  230.3908  121.5636   28.4167  20190228  14.5  4.0  353P/McNaught                                            MPC108599
0354P         2020 04 27.8297  2.002167  0.125505  133.1700  320.1349    5.2555  20190228  15.5  4.0  354P/LINEAR                                              MPC105545
0355P         2017 10 12.6014  1.715372  0.506344  336.2946   51.4587   11.0324  20190228  15.5  2.0  355P/LINEAR-NEAT                                         MPC109594
0356P         2017 12 16.9229  2.689079  0.354151  226.1277  160.7963    9.6298  20190228  14.0  4.0  356P/WISE                                                MPC109148
0357P         2018 05 28.8776  2.526297  0.434271    1.5028   44.6066    6.3084  20190228  15.5  4.0  357P/Hill                                                MPC112394
0358P         2018 04 11.4844  2.401693  0.237657  299.8531   85.7201   11.0571  20190228  18.0  4.0  358P/PANSTARRS                                           MPC106350
0359P         2017 08 20.4533  3.139033  0.323365  200.1074  149.7801   10.2610  20190228  13.5  4.0  359P/LONEOS                                              MPC110086
0360P         2017 08 18.4042  1.859791  0.497986  354.1254    2.2186   24.0797  20190228  19.5  6.0  360P/WISE                                                MPC108599
0361P         2018 07  2.4074  2.780158  0.437827  219.1934  203.2731   13.8820  20190228  12.0  4.0  361P/Spacewatch                                          MPC112394
0362P         2016 08 24.0186  2.852765  0.280506   53.5556  192.6109   15.5677  20190228  12.9  2.0  362P                                                     MPEC_2017-V13
0363P         2018 03 23.0997  1.508406  0.557503  315.4121  169.8606    3.9735  20190228  17.5  4.0  363P/Lemmon                                              MPC110086
0364P         2018 06 24.3661  0.797942  0.722699  211.9394   46.2207   12.1549  20190228  17.0  2.0  364P/PANSTARRS                                           MPC112394
0365P         2018 02 10.8065  1.357681  0.573731   66.3516   87.4368    9.8400  20190228  17.0  4.0  365P/PANSTARRS                                           MPC111775
0366P         2018 07 21.5820  2.277335  0.348941  153.2491   70.7564    8.8598  20190228  15.0  4.0  366P/Spacewatch                                          MPC110086
0367P         2018 06 21.8386  2.521202  0.281030  172.9856   58.7185    8.4640  20190228  17.5  2.0  367P/Catalina                                            MPC112395
0368P         2018 09 14.2480  2.067745  0.625829  118.8031  257.9771   15.4849  20190228  14.0  4.0  368P/NEAT                                                MPC112395
0369P         2018 10 15.1442  1.957106  0.554202   13.2788   47.3201   10.3080  20190228  15.0  4.0  369P/Hill                                                MPC112395
0370P         2018 06  9.4447  2.485136  0.614340  356.7619   55.1625   19.3970  20190228  13.0  4.0  370P/NEAT                                                MPC112395
0371P         2018 10  4.5855  2.191028  0.476018  308.4776   67.3347   17.3798  20190228  16.0  4.0  371P/LINEAR-Skiff                                        MPC112395
0372P         2018 10 19.4341  3.815133  0.151875   26.9462  325.8406    9.5104  20190228  13.5  4.0  372P/McNaught                                            MPC111775
0373P         2019 04  9.1562  2.313444  0.392464  221.2152  231.9584   13.7577  20190228  14.5  4.0  373P/Rinner                                              MPC112395
0374P         2019 01 10.8524  2.676619  0.462276   51.5892    7.9337   10.7577  20190228  14.0  4.0  374P/Larson                                              MPC112395
0375P         2018 12 21.4389  1.895194  0.659257  119.4282  359.9635   17.3657  20190228  16.0  4.0  375P/Hill                                                MPC112395
